company_names,cars_names,engines,horsepower,cars_prices,fuel_types,seats
TOYOTA,COROLLA SEDAN HYBRID,"1.8L,1798.0,10.0,24000.0,Hybrid,300.0
TOYOTA,BZ3,ELECTRIC MOTOR,241.0,35000.0,Electric,5
TOYOTA,GR YARIS,"1.6L,1618.0,5.5,45000.0,Petrol,390.0
HYUNDAI,SANTA FE,1.6L PETROL + PLUG IN HYBRID SYSTEM,253.0,50000.0,Petrol/Hybrid,7
HYUNDAI,IONIQ 5,ELECTRIC MOTOR,225.0,41000.0,Electric,5
HYUNDAI,Santa Cruz,2.5L Turbocharged Inline-4,281.0,40799.0,Petrol,5
HYUNDAI,Kona,1.6L PETROL,147.0,20500.0,Petrol/EV,5
HYUNDAI,Elantra,2.0L Inline-4,147.0,19950.0,Petrol/Hybrid,5
Nissan,Urvan,2.5L Turbo Diese,2488.0,28000.0,Diesel,15
HYUNDAI,IONIQ 6,Electric Motor,320.0,41450.0,Electric,5
HYUNDAI,Tucson,2.5L Inline-4,187.0,30500.0,Petrol/Hybrid,5
HYUNDAI,Palisade,3.8L V6,291.0,52000.0,Petrol,7
HYUNDAI,Sonata,2.5L Inline-4,191.0,25000.0,Petrol/Hybrid,5
HYUNDAI,Accent,1.6L Inline-4,120.0,15000.0,Petrol,5
HYUNDAI,Venue,1.6L Inline-4,121.0,18000.0,Petrol,5
HYUNDAI,KONA Electric,Electric Motor,200.0,40000.0,Electric,5
HYUNDAI,Veloster,2.0L Inline-4,275.0,25000.0,Petrol,4
HYUNDAI,NEXO,Electric Motor,161.0,38000.0,Hydrogen,5
HYUNDAI,Ioniq,1.6L Inline-4,139.0,18000.0,Hybrid/Electric,5
HYUNDAI,Genesis,3.8L V6,291.0,52000.0,Petrol,5
HYUNDAI,Azera,3.3L V6,278.0,55000.0,Petrol,5
HYUNDAI,Equus,3.3L V6,278.0,55000.0,Petrol,5
HYUNDAI,Tiburon,2.0L Inline-4,160.0,19000.0,Petrol,4
HYUNDAI,Elantra GT,1.6L Turbo GDI 4-cylinder,160.0,22000.0,Petrol,5
Volkswagen,Golf,1.5L Turbo I4 / Electric,215.0,23000.0,Petrol,5
Volkswagen,Passat,2.0L Turbo I4,215.0,25000.0,Petrol,5
Volkswagen,Tiguan,2.0L Turbo I4,190.0,28505.0,"Petrol, Hybrid",300.0
Volkswagen,Jetta,1.5L Turbo I4,189.0,21995.0,Petrol,5
Volkswagen,Polo,1.0L Turbo I3 / 1.6L Diesel,140.0,18000.0,Petrol,5
Volkswagen,Arteon,2.0L Turbo I4,215.0,46000.0,Petrol,5
Volkswagen,ID.4,Electric,251.5,39735.0,Electric,5
Volkswagen,Up!,Electric,82.0,15000.0,Petrol,4
Volkswagen,Touareg,3.0L V6 Turbo Diesel / 4.0L V8,365.5,55000.0,"Petrol, Diesel",600.0
Volkswagen,Scirocco,2.0L Turbo I4,202.5,35000.0,Petrol,4
Volkswagen,Beetle,2.0L Turbo I4,157.5,20000.0,Petrol,4
Volkswagen,Amarok,3.0L V6 Turbo Diesel,210.5,40000.0,Diesel,5
Volkswagen,T-Roc,2.0L Turbo I4,207.5,30000.0,Petrol,5
Volkswagen,Sharan,2.0L Turbo I4,185.0,33000.0,"Petrol, Diesel",280.0
Volkswagen,Caddy,1.5L Turbo I4,126.0,28000.0,"Petrol, Diesel",250.0
Nissan,NV1500,4.0L V6,261.0,33000.0,Petrol,12
Volkswagen,Taigo,1.5L Turbo I4,122.5,24000.0,Petrol,5
Volkswagen,California,2.0L Turbo I4,177.0,70000.0,Diesel,7
Volkswagen,ID.3,Electric,204.0,35000.0,Electric,5
Volkswagen,ID. Buzz,Electric,204.0,59995.0,Electric,7
Volkswagen,Golf GTI,2.0L Turbo I4,245.0,31965.0,Petrol,5
Volkswagen,Golf R,2.0L Turbo I4,315.0,44640.0,Petrol,5
Volkswagen,Passat Alltrack,2.0L Turbo Diesel I4,215.0,36000.0,Diesel,5
Volkswagen,Polo GTI,2.0L Turbo I4,204.0,28000.0,Petrol,5
Volkswagen,Up! GTI,1.0L Turbo I3,115.0,20000.0,Petrol,4
Volkswagen,T-Cross,1.0L Turbo I3 / 1.5L Turbo I4,122.5,25000.0,Petrol,5
Volkswagen,ID.5,Electric,236.5,45000.0,Electric,5
Volkswagen,ID. Buzz Cargo,Electric,204.0,55000.0,Electric,3
Volkswagen,Touareg R,Plug-in Hybrid V6,462.0,70000.0,Hybrid,5
Volkswagen,Multivan,Plug-in Hybrid / Diesel I4,184.0,50000.0,"Petrol, Hybrid",350.0
Volkswagen,Polo BlueMotion,1.2L Diesel I3,85.0,22000.0,Diesel,5
Volkswagen,Golf Sportsvan,1.5L Turbo I4,140.0,30000.0,Petrol,5
Volkswagen,Golf Alltrack,2.0L Turbo Diesel I4,173.5,35000.0,Petrol,5
Volkswagen,Scirocco R,2.0L Turbo I4,280.0,40000.0,Petrol,4
Volkswagen,Tiguan Allspace,2.0L Turbo I4,207.0,35000.0,Petrol,7
Volkswagen,Arteon 4MOTION,2.0L Turbo I4,255.0,48000.0,Petrol,5
Volkswagen,ID.4 GTX,Electric AWD,299.0,50000.0,Electric,5
Volkswagen,ID.3 Pro,Electric,204.0,35000.0,Electric,5
Volkswagen,Golf Variant,1.5L Turbo I4 / 2.0L Diesel I4,140.0,32000.0,Petrol,5
Volkswagen,Crafter,2.0L Turbo Diesel I4,139.5,40000.0,Diesel,3
Volkswagen,Lupo,1.4L I3 Gas / 1.2L Diesel I3,67.5,15000.0,Petrol,4
Volkswagen,Corrado,2.9L VR6,190.0,25000.0,Petrol,4
Volkswagen,Phaeton,3.0L V6 Diesel / 6.0L W12 Gas,345.0,85000.0,Petrol,5
Volkswagen,Golf Cabriolet,1.2L I4 Turbo / 2.0L I4 Turbo,157.5,30000.0,Petrol,4
Volkswagen,Santana,1.5L I4 Gas,110.0,15000.0,Petrol,5
Volkswagen,Polo Vivo,1.4L I4 Gas / 1.6L I4 Gas,95.0,14000.0,Petrol,5
Volkswagen,Karmann Ghia,1.2L I4 Gas,47.0,25000.0,Petrol,2
Volkswagen,Fox,1.2L I4 Gas / 1.4L I4 Gas,65.0,12000.0,Petrol,5
Volkswagen,Vento,1.6L I4 Gas / Diesel,107.5,18000.0,Petrol,5
Volkswagen,Golf Electric,Electric,136.0,33000.0,Electric,5
Volkswagen,Bora,1.6L I4 Gas / 1.9L I4 Diesel,125.0,20000.0,Petrol,5
